SignalFile,SignalTime,lastRun,ReturnCode
Accruals.py,1.9726378917694092,2025-10-17 18:09:04,0
AccrualsBM.py,4.6696250438690186,2025-10-17 18:09:09,0
AdExp.py,1.8866198062896729,2025-10-17 18:09:10,0
AgeIPO.py,1.0614609718322754,2025-10-17 18:09:12,0
AM.py,4.5421462059021,2025-10-17 18:09:16,0
AnalystRevision.py,1.7280540466308594,2025-10-17 18:09:18,0
AssetGrowth.py,1.4074842929840088,2025-10-17 18:09:19,0
Beta.py,6.406803846359253,2025-10-17 18:09:26,0
BetaLiquidityPS.py,10.262174844741821,2025-10-17 18:09:36,0
BetaTailRisk.py,7.593631029129028,2025-10-17 18:09:43,0
BidAskSpread.py,3.1795339584350586,2025-10-17 18:09:47,0
BM.py,4.539751291275024,2025-10-17 18:09:51,0
BMdec.py,2.726517915725708,2025-10-17 18:09:54,0
BookLeverage.py,1.6554269790649414,2025-10-17 18:09:56,0
BrandInvest.py,32.84875702857971,2025-10-17 18:10:28,0
Cash.py,3.174177885055542,2025-10-17 18:10:32,0
CashProd.py,2.0959322452545166,2025-10-17 18:10:34,0
CBOperProf.py,6.004167795181274,2025-10-17 18:10:40,0
CF.py,2.2106051445007324,2025-10-17 18:10:42,0
cfp.py,4.176450967788696,2025-10-17 18:10:46,0
ChangeInRecommendation.py,1.1014273166656494,2025-10-17 18:10:47,0
ChAssetTurnover.py,4.085292100906372,2025-10-17 18:10:51,0
ChEQ.py,0.7965970039367676,2025-10-17 18:10:52,0
ChForecastAccrual.py,6.978440999984741,2025-10-17 18:10:59,0
ChInv.py,3.197493076324463,2025-10-17 18:11:02,0
ChInvIA.py,5.301032304763794,2025-10-17 18:11:08,0
ChNAnalyst.py,3.283564805984497,2025-10-17 18:11:11,0
ChNNCOA.py,3.4680168628692627,2025-10-17 18:11:14,0
ChNWC.py,1.135127067565918,2025-10-17 18:11:15,0
ChTax.py,2.2338716983795166,2025-10-17 18:11:18,0
CitationsRD.py,5.8472161293029785,2025-10-17 18:11:24,0
CompEquIss.py,3.0029687881469727,2025-10-17 18:11:27,0
CompositeDebtIssuance.py,1.3697590827941895,2025-10-17 18:11:28,0
ConsRecomm.py,0.8616142272949219,2025-10-17 18:11:29,0
ConvDebt.py,0.7289249897003174,2025-10-17 18:11:30,0
CoskewACX.py,78.29587936401367,2025-10-17 18:12:48,0
Coskewness.py,16.020929098129272,2025-10-17 18:13:04,0
CPVolSpread.py,2.143397808074951,2025-10-17 18:13:06,0
CredRatDG.py,1.8108317852020264,2025-10-17 18:13:08,0
CustomerMomentum.py,3.3253488540649414,2025-10-17 18:13:11,0
dCPVolSpread.py,2.5278232097625732,2025-10-17 18:13:14,0
DebtIssuance.py,2.252755880355835,2025-10-17 18:13:16,0
DelBreadth.py,1.8481190204620361,2025-10-17 18:13:18,0
DelCOA.py,0.8891899585723877,2025-10-17 18:13:19,0
DelCOL.py,1.69881010055542,2025-10-17 18:13:20,0
DelDRC.py,2.2440359592437744,2025-10-17 18:13:23,0
DelEqu.py,3.800379991531372,2025-10-17 18:13:26,0
DelFINL.py,3.8557538986206055,2025-10-17 18:13:30,0
DelLTI.py,3.352385997772217,2025-10-17 18:13:34,0
DelNetFin.py,3.9643731117248535,2025-10-17 18:13:38,0
DivInit.py,2.299376964569092,2025-10-17 18:13:40,0
DivOmit.py,6.309676885604858,2025-10-17 18:13:46,0
DivSeason.py,1.924941062927246,2025-10-17 18:13:48,0
DivYieldST.py,4.166032791137695,2025-10-17 18:13:52,0
dNoa.py,1.6445879936218262,2025-10-17 18:13:54,0
DolVol.py,5.126844167709351,2025-10-17 18:13:59,0
DownRecomm.py,1.0311238765716553,2025-10-17 18:14:00,0
dVolCall.py,2.0134329795837402,2025-10-17 18:14:02,0
dVolPut.py,2.035910129547119,2025-10-17 18:14:04,0
